A,B,viewers,buyers,cvr_from_A,base_cvr,interest_lift
2141,17413,224,6,0.027,0.004,7.55
28894,37705,224,55,0.246,0.139,1.77
13663,2505,224,102,0.455,0.289,1.57
42392,16468,224,0,0.0,0.0,
25978,49816,223,68,0.305,0.165,1.85
43513,48463,223,47,0.211,0.133,1.58
2141,48463,223,51,0.229,0.133,1.72
51565,534,223,0,0.0,0.0,
21799,48892,222,38,0.171,0.133,1.29
48332,31435,222,82,0.369,0.141,2.62
43117,42952,222,40,0.18,0.15,1.2
43117,534,222,0,0.0,0.0,
48332,51565,221,108,0.489,0.177,2.76
49519,44899,221,36,0.163,0.117,1.4
42952,2288,221,0,0.0,0.0,
48332,534,221,0,0.0,0.0,
42952,50312,221,76,0.344,0.225,1.53
47506,534,221,0,0.0,0.0,
43117,55723,221,62,0.281,0.134,2.1
2505,55723,221,52,0.235,0.134,1.76
400,2145,221,0,0.0,0.0,
49255,57934,220,46,0.209,0.114,1.84
43117,50312,220,73,0.332,0.225,1.48
42392,43513,220,84,0.382,0.157,2.44
17212,2385,220,0,0.0,0.0,
21799,2143,219,0,0.0,0.0,
31435,2505,218,78,0.358,0.289,1.24
47704,55195,218,37,0.17,0.1,1.69
2141,2503,218,128,0.587,0.356,1.65
43513,2145,218,0,0.0,0.0,
43513,44108,218,78,0.358,0.155,2.3
42952,51565,217,83,0.382,0.177,2.16
47935,47704,217,94,0.433,0.195,2.22
49255,55789,217,31,0.143,0.14,1.02
29357,2141,217,1,0.005,0.218,0.02
43117,18433,216,0,0.0,0.0,
42392,55723,216,80,0.37,0.134,2.77
21799,534,215,0,0.0,0.0,
2141,19178,215,0,0.0,0.0,
43513,55723,215,68,0.316,0.134,2.37
2141,30940,215,69,0.321,0.17,1.89
49816,56648,215,68,0.316,0.186,1.7
2166,2148,214,0,0.0,0.0,
1210,534,214,0,0.0,0.0,
48332,55723,214,70,0.327,0.134,2.45
47704,19178,214,0,0.0,0.0,
21799,16468,214,0,0.0,0.0,
2141,2236,213,61,0.286,0.373,0.77
47704,58165,213,57,0.268,0.183,1.47
42392,2141,212,87,0.41,0.218,1.88
2505,48463,212,67,0.316,0.133,2.37
42952,42392,211,62,0.294,0.154,1.91
42952,50014,211,51,0.242,0.122,1.99
51565,31435,211,67,0.318,0.141,2.25
42392,2505,211,114,0.54,0.289,1.87
50312,16468,211,0,0.0,0.0,
47704,1210,211,105,0.498,0.403,1.24
43513,47935,210,84,0.4,0.188,2.13
2141,17905,210,0,0.0,0.001,0.0
43216,534,210,0,0.0,0.0,
25978,2141,209,109,0.522,0.218,2.4
2141,49552,209,0,0.0,0.0,
43513,49816,209,47,0.225,0.165,1.37
