f_menu,f_name,f_topic,f_ctype,f_buyers,anchor_n2,rank,rec_menu,rec_name,rec_topic,rec_ctype,rec_price,conf_pct,lift,pair_n,same_menu
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,1675,1226,1,43513,2025 을사년 운세: 사랑과 인연,연애,사주,19500.0,5.7,2.91,70,0
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,1675,1226,2,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,4.3,2.52,53,0
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,1675,1226,3,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,24000.0,3.7,2.85,45,0
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,1675,1226,4,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,3.3,1.84,40,0
43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,1675,1226,5,2141,그 사람의 속마음,연애,타로,1500.0,2.6,0.51,32,0
36509,(미상:36509),연애,사주,1546,1199,1,33646,(미상:33646),연애,사주,,7.7,11.41,92,0
36509,(미상:36509),연애,사주,1546,1199,2,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,27000.0,4.6,2.91,55,0
36509,(미상:36509),연애,사주,1546,1199,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,4.2,2.35,50,0
36509,(미상:36509),연애,사주,1546,1199,4,2141,그 사람의 속마음,연애,타로,1500.0,3.8,0.73,45,0
36509,(미상:36509),연애,사주,1546,1199,5,400,다시 만날 수 있을까,연애,타로,1500.0,3.2,0.78,38,0
33646,(미상:33646),연애,사주,1449,993,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,7.8,4.37,77,0
33646,(미상:33646),연애,사주,1449,993,2,36509,(미상:36509),연애,사주,,7.3,12.6,72,0
33646,(미상:33646),연애,사주,1449,993,3,23878,내 운명 지금 어디 있을까?,연애,사주,18000.0,5.7,5.05,57,0
33646,(미상:33646),연애,사주,1449,993,4,19192,타고난 결혼운 + 내 운명의 상대,결혼,사주,36000.0,3.1,4.45,31,0
33646,(미상:33646),연애,사주,1449,993,5,13663,어떤 사람과 사귈 운명일까?,연애,타로,1500.0,3.1,1.8,31,0
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,1327,809,1,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,21000.0,6.1,7.16,49,1
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,1327,809,2,1210,우리 얼마나 오래 갈까?,연애,타로,1500.0,4.2,3.64,34,0
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,1327,809,3,2166,그 사람과 나의 사주 궁합,연애,사주,21000.0,3.5,2.8,28,0
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,1327,809,4,26805,그 사람과 나의 3가지 사주궁합,연애,사주,27000.0,2.8,5.04,23,0
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,1327,809,5,43513,2025 을사년 운세: 사랑과 인연,연애,사주,19500.0,2.7,1.39,22,0
43216,2025년 신년운세 보고서,총운,사주,1326,853,1,43513,2025 을사년 운세: 사랑과 인연,연애,사주,19500.0,9.3,4.72,79,0
43216,2025년 신년운세 보고서,총운,사주,1326,853,2,42062,사주 살풀이: 타고난 살과 2025년의 살,일반운세,사주,21450.0,4.1,9.31,35,0
43216,2025년 신년운세 보고서,총운,사주,1326,853,3,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,4.1,2.39,35,0
43216,2025년 신년운세 보고서,총운,사주,1326,853,4,2141,그 사람의 속마음,연애,타로,1500.0,3.0,0.59,26,0
43216,2025년 신년운세 보고서,총운,사주,1326,853,5,43216,2025년 신년운세 보고서,총운,사주,37500.0,3.0,3.74,26,1
17212,그 사람이 연락을 안 하는 이유,연애,타로,1308,1052,1,2141,그 사람의 속마음,연애,타로,1500.0,17.9,3.47,188,0
17212,그 사람이 연락을 안 하는 이유,연애,타로,1308,1052,2,17212,그 사람이 연락을 안 하는 이유,연애,타로,1500.0,11.3,6.79,119,1
17212,그 사람이 연락을 안 하는 이유,연애,타로,1308,1052,3,400,다시 만날 수 있을까,연애,타로,1500.0,5.8,1.42,61,0
17212,그 사람이 연락을 안 하는 이유,연애,타로,1308,1052,4,20320,(추천할인) 우리 사귈 수 있을까?: 사귈 확률 계산기,연애,타로,9000.0,4.1,12.2,43,0
17212,그 사람이 연락을 안 하는 이유,연애,타로,1308,1052,5,2142,재회확률 높이는 법,연애,타로,1500.0,3.4,1.67,36,0
1210,우리 얼마나 오래 갈까?,연애,타로,1257,942,1,523,결혼한다면 어떨까?,결혼,타로,1500.0,21.5,30.81,203,0
1210,우리 얼마나 오래 갈까?,연애,타로,1257,942,2,2441,우리 커플 스킨십 궁합은?,연애,타로,1500.0,10.1,31.71,95,0
1210,우리 얼마나 오래 갈까?,연애,타로,1257,942,3,2141,그 사람의 속마음,연애,타로,1500.0,7.7,1.5,73,0
1210,우리 얼마나 오래 갈까?,연애,타로,1257,942,4,1210,우리 얼마나 오래 갈까?,연애,타로,1500.0,5.7,4.97,54,1
1210,우리 얼마나 오래 갈까?,연애,타로,1257,942,5,2263,내 애인 바람기,연애,타로,1500.0,3.7,17.37,35,0
19192,타고난 결혼운 + 내 운명의 상대,결혼,사주,1256,793,1,23878,내 운명 지금 어디 있을까?,연애,사주,18000.0,5.0,4.44,40,0
19192,타고난 결혼운 + 내 운명의 상대,결혼,사주,1256,793,2,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,5.0,2.84,40,0
19192,타고난 결혼운 + 내 운명의 상대,결혼,사주,1256,793,3,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,4.2,2.42,33,0
19192,타고난 결혼운 + 내 운명의 상대,결혼,사주,1256,793,4,22360,사주로 보는 내 결혼 상대는?,결혼,사주,18000.0,4.0,4.26,32,0
19192,타고난 결혼운 + 내 운명의 상대,결혼,사주,1256,793,5,49255,내 팔자에 새겨진 천년배필,연애,?,21000.0,3.7,4.05,29,0
22360,사주로 보는 내 결혼 상대는?,결혼,사주,1252,984,1,44273,🔋질문권 충전 (3개),기타,?,3000.0,3.8,13.49,37,0
22360,사주로 보는 내 결혼 상대는?,결혼,사주,1252,984,2,13663,어떤 사람과 사귈 운명일까?,연애,타로,1500.0,3.7,2.11,36,0
22360,사주로 보는 내 결혼 상대는?,결혼,사주,1252,984,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,3.3,1.83,32,0
22360,사주로 보는 내 결혼 상대는?,결혼,사주,1252,984,4,2202,사주로 보는 직업운,학업직업,사주,1500.0,2.9,2.34,29,0
22360,사주로 보는 내 결혼 상대는?,결혼,사주,1252,984,5,23878,내 운명 지금 어디 있을까?,연애,사주,18000.0,2.8,2.51,28,0
39091,재회 타로 : 그 사람의 첫 연락,연애,타로,1146,978,1,26242,(추천할인) D-DAY 재회 타로: 다시 만날 수 있을까?,연애,타로,18000.0,16.1,55.91,157,0
39091,재회 타로 : 그 사람의 첫 연락,연애,타로,1146,978,2,400,다시 만날 수 있을까,연애,타로,1500.0,15.7,3.86,154,0
