anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,232,1,400,다시 만날 수 있을까,연애/타로,26,11.2,2.6,7.8
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,232,2,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,15,6.5,4.73,4.0
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,232,3,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,14,6.0,3.18,3.6
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,232,4,2142,재회확률 높이는 법,연애/타로,11,4.7,2.31,2.7
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,232,5,2141,그 사람의 속마음,연애/타로,10,4.3,0.79,2.4
39091,재회 타로 : 그 사람의 첫 연락,624,1,400,다시 만날 수 있을까,연애/타로,98,15.7,3.65,13.1
39091,재회 타로 : 그 사람의 첫 연락,624,2,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,45,7.2,3.81,5.4
39091,재회 타로 : 그 사람의 첫 연락,624,3,2141,그 사람의 속마음,연애/타로,41,6.6,1.2,4.9
39091,재회 타로 : 그 사람의 첫 연락,624,4,2142,재회확률 높이는 법,연애/타로,39,6.2,3.04,4.6
39091,재회 타로 : 그 사람의 첫 연락,624,5,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,34,5.4,3.99,3.9
39852,"내 운명의 연애, 몇 번 남았을까?",153,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,10,6.5,3.48,3.6
40510,(미상:40510),405,1,2141,그 사람의 속마음,연애/타로,34,8.4,1.54,6.1
40510,(미상:40510),405,2,2505,지금 날 좋아하는 사람은?,연애/타로,31,7.7,3.62,5.4
40510,(미상:40510),405,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,14,3.5,1.74,2.1
40510,(미상:40510),405,4,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,12,3.0,2.11,1.7
40510,(미상:40510),405,5,17212,그 사람이 연락을 안 하는 이유,연애/타로,10,2.5,1.19,1.3
41402,(미상:41402),941,1,2141,그 사람의 속마음,연애/타로,56,6.0,1.09,4.6
41402,(미상:41402),941,2,42952,내 사주에 쓰인 운명의 배우자,연애/사주,45,4.8,2.55,3.6
41402,(미상:41402),941,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,35,3.7,1.88,2.7
41402,(미상:41402),941,4,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,30,3.2,2.27,2.2
41402,(미상:41402),941,5,2505,지금 날 좋아하는 사람은?,연애/타로,27,2.9,1.36,2.0
41764,(미상:41764),214,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,10,4.7,2.49,2.6
42392,2025년 솔로 탈출 시기,348,1,2505,지금 날 좋아하는 사람은?,연애/타로,16,4.6,2.17,2.8
42392,2025년 솔로 탈출 시기,348,2,23878,내 운명 지금 어디 있을까?,연애/사주,15,4.3,3.22,2.6
42392,2025년 솔로 탈출 시기,348,3,2141,그 사람의 속마음,연애/타로,13,3.7,0.68,2.2
