anchor,anchor_name,anchor_nX,rank,rec_menu,rec_name,rec_cat,co_n,conf_pct,lift
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,8,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,53,2.3,3.48
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,9,48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶,연애/타로,46,2.0,6.76
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,10,1210,우리 얼마나 오래 갈까?,연애/타로,45,2.0,1.57
60013,내 운이 트이는 동네: 전국편,8,1,36509,(미상:36509),?,1,12.5,11.02
60013,내 운이 트이는 동네: 전국편,8,2,43683,[창광] 25년 을사년 사랑운과 인연운,연애/사주,1,12.5,18.76
60013,내 운이 트이는 동네: 전국편,8,3,49519,임신운 풀이: 삼신할매가 점지한 우리 아가,가족자녀/사주,1,12.5,59.64
60013,내 운이 트이는 동네: 전국편,8,4,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,재물금전/사주,1,12.5,22.17
60013,내 운이 트이는 동네: 전국편,8,5,19192,타고난 결혼운 + 내 운명의 상대,결혼/사주,1,12.5,13.72
60013,내 운이 트이는 동네: 전국편,8,6,43684,[창광] 25년 을사년 재물운과 문서운,재물금전/사주,1,12.5,59.44
60013,내 운이 트이는 동네: 전국편,8,7,2166,그 사람과 나의 사주 궁합,연애/사주,1,12.5,7.59
60013,내 운이 트이는 동네: 전국편,8,8,43513,2025 을사년 운세: 사랑과 인연,연애/사주,1,12.5,4.15
2141,그 사람의 속마음,6489,1,17212,그 사람이 연락을 안 하는 이유,연애/타로,555,8.6,5.44
2141,그 사람의 속마음,6489,2,400,다시 만날 수 있을까,연애/타로,393,6.1,1.43
2141,그 사람의 속마음,6489,3,2505,지금 날 좋아하는 사람은?,연애/타로,188,2.9,1.6
2141,그 사람의 속마음,6489,4,43513,2025 을사년 운세: 사랑과 인연,연애/사주,145,2.2,0.74
2141,그 사람의 속마음,6489,5,13663,어떤 사람과 사귈 운명일까?,연애/타로,140,2.2,1.48
2141,그 사람의 속마음,6489,6,2429,그 사람과 사귀면 어떨까?,연애/타로,136,2.1,11.0
2141,그 사람의 속마음,6489,7,49882,그 사람의 숨겨진 진짜 속마음 💟,연애/타로,126,1.9,5.17
2141,그 사람의 속마음,6489,8,18648,내가 관심 있는 거 눈치챘을까?,연애/타로,121,1.9,5.69
2141,그 사람의 속마음,6489,9,1210,우리 얼마나 오래 갈까?,연애/타로,118,1.8,1.46
2141,그 사람의 속마음,6489,10,26214,그 사람도 날 좋아할까?,연애/타로,113,1.7,4.34
60244,연애 상대 스포: 내 사주 존잘/존예,4,1,18705,나는 결혼해도 되는 사주일까?,결혼/사주,1,25.0,40.35
60244,연애 상대 스포: 내 사주 존잘/존예,4,2,30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애/사주,1,25.0,43.2
