anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,3940,8,48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶,연애/타로,145,3.7,5.23,3.1
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,3940,9,47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,연애/사주,127,3.2,2.4,2.7
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,3940,10,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,102,2.6,1.01,2.1
2141,그 사람의 속마음,767,1,17212,그 사람이 연락을 안 하는 이유,연애/타로,69,9.0,32.08,7.2
2141,그 사람의 속마음,767,2,2505,지금 날 좋아하는 사람은?,연애/타로,51,6.6,10.02,5.1
2141,그 사람의 속마음,767,3,18639,걔는 나를 연애 상대로 볼까?,연애/타로,42,5.5,40.06,4.1
2141,그 사람의 속마음,767,4,400,다시 만날 수 있을까,연애/타로,42,5.5,3.67,4.1
2141,그 사람의 속마음,767,5,16426,좋아하는 그 사람의 속마음은?,연애/타로,26,3.4,19.24,2.3
2141,그 사람의 속마음,767,6,26214,그 사람도 날 좋아할까?,연애/타로,22,2.9,15.66,1.9
2141,그 사람의 속마음,767,7,18648,내가 관심 있는 거 눈치챘을까?,연애/타로,20,2.6,42.05,1.7
2141,그 사람의 속마음,767,8,2429,그 사람과 사귀면 어떨까?,연애/타로,16,2.1,43.54,1.3
2141,그 사람의 속마음,767,9,2503,그 사람이 보는 내 이미지,연애/타로,15,2.0,47.85,1.2
2141,그 사람의 속마음,767,10,25297,사주로 보는 그 사람의 속마음,연애/사주,14,1.8,4.27,1.1
