anchor,anchor_name,anchor_topic,anchor_n,rank,rec_menu,rec_name,source,score_pct,pair_n
2236,전연인 어떻게 지낼까,연애|재회,500,1,400,다시 만날 수 있을까,직접,20.2,86
2236,전연인 어떻게 지낼까,연애|재회,500,2,2217,그날 헤어지지 않았다면,직접,16.0,68
2236,전연인 어떻게 지낼까,연애|재회,500,3,2142,재회확률 높이는 법,직접,7.7,33
2236,전연인 어떻게 지낼까,연애|재회,500,4,2196,헤어진 사람 잊는 법,직접,6.8,29
2236,전연인 어떻게 지낼까,연애|재회,500,5,16377,3개월 안에 다시 만날 수 있을까?,직접,5.2,22
2237,그 사람의 변심 이유,연애|*,47,1,2141,그 사람의 속마음,관심사,5.4,1227
2237,그 사람의 변심 이유,연애|*,47,2,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2237,그 사람의 변심 이유,연애|*,47,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2237,그 사람의 변심 이유,연애|*,47,4,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2237,그 사람의 변심 이유,연애|*,47,5,400,다시 만날 수 있을까,관심사,2.4,552
2239,유학·출장 가면 어떨까?,일반운세|*,12,1,2202,사주로 보는 직업운,관심사,3.3,117
2239,유학·출장 가면 어떨까?,일반운세|*,12,2,2165,사주로 보는 재물운,관심사,2.9,102
2239,유학·출장 가면 어떨까?,일반운세|*,12,3,21964,내 사주에 연애 상대 몇 명 있을까?,관심사,2.2,76
2239,유학·출장 가면 어떨까?,일반운세|*,12,4,28729,내 운이 트이는 동네는?(서울편),관심사,2.0,69
2239,유학·출장 가면 어떨까?,일반운세|*,12,5,2141,그 사람의 속마음,관심사,1.9,67
2240,연애할 때 내 매력은 뭘까?,연애|*,89,1,2265,내 연애가 유독 힘든 이유,직접,19.7,12
2240,연애할 때 내 매력은 뭘까?,연애|*,89,2,2141,그 사람의 속마음,관심사,5.4,1227
2240,연애할 때 내 매력은 뭘까?,연애|*,89,3,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2240,연애할 때 내 매력은 뭘까?,연애|*,89,4,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2240,연애할 때 내 매력은 뭘까?,연애|*,89,5,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2248,서류 합격할 수 있을까?,학업직업|*,35,1,2202,사주로 보는 직업운,관심사,6.9,178
2248,서류 합격할 수 있을까?,학업직업|*,35,2,2425,이달의 합격운,관심사,4.3,109
2248,서류 합격할 수 있을까?,학업직업|*,35,3,536,시험 잘 볼 수 있을까,관심사,3.0,77
2248,서류 합격할 수 있을까?,학업직업|*,35,4,2155,이달의 취업운은 어떨까?,관심사,3.0,77
2248,서류 합격할 수 있을까?,학업직업|*,35,5,2165,사주로 보는 재물운,관심사,2.8,73
2249,(미상:2249),학업직업|*,5,1,2202,사주로 보는 직업운,관심사,6.9,178
2249,(미상:2249),학업직업|*,5,2,2425,이달의 합격운,관심사,4.3,109
2249,(미상:2249),학업직업|*,5,3,536,시험 잘 볼 수 있을까,관심사,3.0,77
2249,(미상:2249),학업직업|*,5,4,2155,이달의 취업운은 어떨까?,관심사,3.0,77
2249,(미상:2249),학업직업|*,5,5,2165,사주로 보는 재물운,관심사,2.8,73
2250,면접 합격할 수 있을까?,학업직업|*,99,1,2155,이달의 취업운은 어떨까?,직접,15.3,11
2250,면접 합격할 수 있을까?,학업직업|*,99,2,2202,사주로 보는 직업운,관심사,6.9,178
2250,면접 합격할 수 있을까?,학업직업|*,99,3,2425,이달의 합격운,관심사,4.3,109
2250,면접 합격할 수 있을까?,학업직업|*,99,4,536,시험 잘 볼 수 있을까,관심사,3.0,77
2250,면접 합격할 수 있을까?,학업직업|*,99,5,2165,사주로 보는 재물운,관심사,2.8,73
2251,소개팅 상대 어떤 사람일까?,연애|*,23,1,2141,그 사람의 속마음,관심사,5.4,1227
2251,소개팅 상대 어떤 사람일까?,연애|*,23,2,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2251,소개팅 상대 어떤 사람일까?,연애|*,23,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2251,소개팅 상대 어떤 사람일까?,연애|*,23,4,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2251,소개팅 상대 어떤 사람일까?,연애|*,23,5,400,다시 만날 수 있을까,관심사,2.4,552
2253,결혼 위기 극복법,결혼|문제해결,18,1,2366,지금 헤어져도 될까,관심사,7.1,1
2253,결혼 위기 극복법,결혼|문제해결,18,2,30875,내 사주 배우자 궁(宮)에 있는 사람은?,관심사,7.1,1
2253,결혼 위기 극복법,결혼|문제해결,18,3,2166,그 사람과 나의 사주 궁합,관심사,7.1,1
2253,결혼 위기 극복법,결혼|문제해결,18,4,1210,우리 얼마나 오래 갈까?,관심사,7.1,1
2253,결혼 위기 극복법,결혼|문제해결,18,5,17212,그 사람이 연락을 안 하는 이유,관심사,7.1,1
2256,(미상:2256),자기탐구|*,15,1,2202,사주로 보는 직업운,관심사,3.9,25
2256,(미상:2256),자기탐구|*,15,2,2141,그 사람의 속마음,관심사,3.3,21
2256,(미상:2256),자기탐구|*,15,3,18668,사주로 보는 성격유형,관심사,2.7,17
2256,(미상:2256),자기탐구|*,15,4,18702,내 사주로 연예인이 된다면?,관심사,2.4,15
2256,(미상:2256),자기탐구|*,15,5,2273,전생 알아보기,관심사,2.2,14
2262,내 연애 애착유형 분석,연애|*,29,1,2141,그 사람의 속마음,관심사,5.4,1227
2262,내 연애 애착유형 분석,연애|*,29,2,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2262,내 연애 애착유형 분석,연애|*,29,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2262,내 연애 애착유형 분석,연애|*,29,4,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2262,내 연애 애착유형 분석,연애|*,29,5,400,다시 만날 수 있을까,관심사,2.4,552
2263,내 애인 바람기,연애|문제해결,90,1,2141,그 사람의 속마음,직접,38.5,30
2263,내 애인 바람기,연애|문제해결,90,2,1210,우리 얼마나 오래 갈까?,관심사,7.8,18
2263,내 애인 바람기,연애|문제해결,90,3,34075,"불안한 사랑, 우리 관계의 미래는?",관심사,3.9,9
2263,내 애인 바람기,연애|문제해결,90,4,2329,화 풀어주는 법,관심사,3.9,9
2263,내 애인 바람기,연애|문제해결,90,5,2166,그 사람과 나의 사주 궁합,관심사,2.6,6
2265,내 연애가 유독 힘든 이유,연애|*,79,1,2141,그 사람의 속마음,관심사,5.4,1227
2265,내 연애가 유독 힘든 이유,연애|*,79,2,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2265,내 연애가 유독 힘든 이유,연애|*,79,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2265,내 연애가 유독 힘든 이유,연애|*,79,4,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2265,내 연애가 유독 힘든 이유,연애|*,79,5,400,다시 만날 수 있을까,관심사,2.4,552
2272,나는 어떤 타입과 어울릴까?,일반운세|궁합,104,1,2395,내 첫인상 어떨까?,직접,15.7,11
2272,나는 어떤 타입과 어울릴까?,일반운세|궁합,104,2,2240,연애할 때 내 매력은 뭘까?,관심사,6.1,8
2272,나는 어떤 타입과 어울릴까?,일반운세|궁합,104,3,2141,그 사람의 속마음,관심사,6.1,8
2272,나는 어떤 타입과 어울릴까?,일반운세|궁합,104,4,2227,동갑vs연하vs연상,관심사,3.1,4
2272,나는 어떤 타입과 어울릴까?,일반운세|궁합,104,5,2216,그 회사가 나랑 잘 어울릴까?,관심사,3.1,4
2273,전생 알아보기,자기탐구|*,271,1,2202,사주로 보는 직업운,관심사,3.9,25
