anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
30875,내 사주 배우자 궁(宮)에 있는 사람은?,604,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,31,5.1,2.99,3.6
30875,내 사주 배우자 궁(宮)에 있는 사람은?,604,2,2166,그 사람과 나의 사주 궁합,연애/사주,23,3.8,3.09,2.6
30875,내 사주 배우자 궁(宮)에 있는 사람은?,604,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,23,3.8,2.15,2.6
30875,내 사주 배우자 궁(宮)에 있는 사람은?,604,4,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,20,3.3,2.66,2.2
30875,내 사주 배우자 궁(宮)에 있는 사람은?,604,5,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,19,3.1,2.44,2.0
30940,이 사랑의 결말: 그 사람과 나의 인연,185,1,2141,그 사람의 속마음,연애/타로,15,8.1,1.57,5.0
31435,지금 날 간절히 원하는 사람 누구일까?,580,1,2505,지금 날 좋아하는 사람은?,연애/타로,46,7.9,3.69,6.0
31435,지금 날 간절히 원하는 사람 누구일까?,580,2,2141,그 사람의 속마음,연애/타로,44,7.6,1.47,5.7
31435,지금 날 간절히 원하는 사람 누구일까?,580,3,13663,어떤 사람과 사귈 운명일까?,연애/타로,20,3.4,1.98,2.2
31435,지금 날 간절히 원하는 사람 누구일까?,580,4,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,20,3.4,1.95,2.2
31435,지금 날 간절히 원하는 사람 누구일까?,580,5,42952,내 사주에 쓰인 운명의 배우자,연애/사주,17,2.9,1.71,1.8
33556,(미상:33556),502,1,2202,사주로 보는 직업운,학업직업/사주,19,3.8,3.0,2.4
33556,(미상:33556),502,2,13663,어떤 사람과 사귈 운명일까?,연애/타로,13,2.6,1.49,1.5
33556,(미상:33556),502,3,19192,타고난 결혼운 + 내 운명의 상대,결혼/사주,12,2.4,3.4,1.4
33556,(미상:33556),502,4,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,재물금전/사주,12,2.4,4.68,1.4
33556,(미상:33556),502,5,23878,내 운명 지금 어디 있을까?,연애/사주,10,2.0,1.75,1.1
33646,(미상:33646),993,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,77,7.8,4.38,6.2
33646,(미상:33646),993,2,23878,내 운명 지금 어디 있을까?,연애/사주,57,5.7,5.05,4.5
33646,(미상:33646),993,3,19192,타고난 결혼운 + 내 운명의 상대,결혼/사주,31,3.1,4.44,2.2
33646,(미상:33646),993,4,13663,어떤 사람과 사귈 운명일까?,연애/타로,31,3.1,1.8,2.2
33646,(미상:33646),993,5,2141,그 사람의 속마음,연애/타로,30,3.0,0.59,2.1
34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지,207,1,44899,임신 타로: 이번 달 우리 아기 찾아올까?,가족자녀/타로,16,7.7,47.21,4.8
34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지,207,2,2202,사주로 보는 직업운,학업직업/사주,13,6.3,4.98,3.7
34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지,207,3,49519,임신운 풀이: 삼신할매가 점지한 우리 아가,가족자녀/사주,10,4.8,24.98,2.6
35701,(미상:35701),155,1,2141,그 사람의 속마음,연애/타로,14,9.0,1.75,5.5
36509,(미상:36509),1199,1,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,55,4.6,2.91,3.5
36509,(미상:36509),1199,2,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,50,4.2,2.35,3.2
36509,(미상:36509),1199,3,2141,그 사람의 속마음,연애/타로,45,3.8,0.73,2.8
36509,(미상:36509),1199,4,400,다시 만날 수 있을까,연애/타로,38,3.2,0.77,2.3
36509,(미상:36509),1199,5,13663,어떤 사람과 사귈 운명일까?,연애/타로,33,2.8,1.58,2.0
36510,(미상:36510),159,1,2202,사주로 보는 직업운,학업직업/사주,12,7.5,5.99,4.4
36510,(미상:36510),159,2,2425,이달의 합격운,학업직업/사주,11,6.9,26.07,3.9
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,405,1,400,다시 만날 수 있을까,연애/타로,37,9.1,2.23,6.7
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,405,2,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,34,8.4,5.33,6.1
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,405,3,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,24,5.9,6.08,4.0
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,405,4,18270,그 사람 아직 나한테 미련 있을까?,연애/타로,19,4.7,7.1,3.0
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,405,5,2142,재회확률 높이는 법,연애/타로,17,4.2,2.05,2.6
39091,재회 타로 : 그 사람의 첫 연락,978,1,400,다시 만날 수 있을까,연애/타로,154,15.7,3.85,13.6
39091,재회 타로 : 그 사람의 첫 연락,978,2,2141,그 사람의 속마음,연애/타로,70,7.2,1.39,5.7
39091,재회 타로 : 그 사람의 첫 연락,978,3,2142,재회확률 높이는 법,연애/타로,54,5.5,2.69,4.3
39091,재회 타로 : 그 사람의 첫 연락,978,4,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,54,5.5,3.51,4.3
39091,재회 타로 : 그 사람의 첫 연락,978,5,2236,전연인 어떻게 지낼까,연애/타로,32,3.3,2.26,2.3
39421,나는 결혼해야 좋은 팔자일까?,124,1,2166,그 사람과 나의 사주 궁합,연애/사주,13,10.5,8.52,6.2
39421,나는 결혼해야 좋은 팔자일까?,124,2,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,10,8.1,9.52,4.4
39784,그 사람과 애인… 언제 헤어질까?,88,1,2141,그 사람의 속마음,연애/타로,15,17.0,3.31,10.6
39852,"내 운명의 연애, 몇 번 남았을까?",265,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,16,6.0,3.52,3.8
39852,"내 운명의 연애, 몇 번 남았을까?",265,2,24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",연애/사주,13,4.9,8.05,2.9
39852,"내 운명의 연애, 몇 번 남았을까?",265,3,2141,그 사람의 속마음,연애/타로,12,4.5,0.88,2.6
39852,"내 운명의 연애, 몇 번 남았을까?",265,4,2505,지금 날 좋아하는 사람은?,연애/타로,11,4.2,1.93,2.3
40510,(미상:40510),668,1,2505,지금 날 좋아하는 사람은?,연애/타로,56,8.4,3.9,6.5
40510,(미상:40510),668,2,2141,그 사람의 속마음,연애/타로,40,6.0,1.16,4.4
40510,(미상:40510),668,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,29,4.3,2.45,3.0
